beta,source_file,used_runs_for_last50,first_used_local_run,last_used_local_run,proposed_reject_count,proposed_rate_within_used,mmd_g_reject_count,mmd_g_rate_within_used,ed2_reject_count,ed2_rate_within_used,bg_reject_count,bg_rate_within_used,pw_reject_count,pw_rate_within_used,mswd_l1_reject_count,mswd_l1_rate_within_used,smmd_reject_count,smmd_rate_within_used
0.0,results_beta0_1.txt,22,4,25,1,0.045454545454545456,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,results_beta0_2.txt,21,0,20,2,0.09523809523809523,1,0.047619047619047616,1,0.047619047619047616,0,0.0,2,0.09523809523809523,3,0.14285714285714285,1,0.047619047619047616
0.0,results_beta0_3.txt,7,0,6,2,0.2857142857142857,0,0.0,0,0.0,0,0.0,1,0.14285714285714285,0,0.0,0,0.0
0.2,results_beta0.2_1.txt,18,2,19,2,0.1111111111111111,1,0.05555555555555555,1,0.05555555555555555,0,0.0,1,0.05555555555555555,2,0.1111111111111111,1,0.05555555555555555
0.2,results_beta0.2_2.txt,32,0,31,1,0.03125,0,0.0,0,0.0,1,0.03125,3,0.09375,1,0.03125,0,0.0
0.4,results_beta0.4.txt,50,2,51,16,0.32,9,0.18,9,0.18,3,0.06,5,0.1,16,0.32,10,0.2
0.6,results_beta0.6_1.txt,2,1,2,2,1.0,0,0.0,0,0.0,0,0.0,1,0.5,2,1.0,0,0.0
0.6,results_beta0.6_2.txt,9,0,8,8,0.8888888888888888,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,8,0.8888888888888888,1,0.1111111111111111
0.6,results_beta0.6_3.txt,39,0,38,32,0.8205128205128205,2,0.05128205128205128,2,0.05128205128205128,1,0.02564102564102564,2,0.05128205128205128,35,0.8974358974358975,5,0.1282051282051282
0.8,results_beta0.8.txt,50,3,52,49,0.98,15,0.3,17,0.34,2,0.04,8,0.16,50,1.0,17,0.34
1.0,results_beta1.txt,50,2,51,50,1.0,29,0.58,27,0.54,4,0.08,11,0.22,50,1.0,31,0.62
