beta,source_file,complete_runs_in_file,used_runs_for_first50,proposed_reject_count,proposed_rate_within_used,mmd_g_reject_count,mmd_g_rate_within_used,ed2_reject_count,ed2_rate_within_used,bg_reject_count,bg_rate_within_used,pw_reject_count,pw_rate_within_used,mswd_l1_reject_count,mswd_l1_rate_within_used,smmd_reject_count,smmd_rate_within_used
0.0,results_beta0_1.txt,26,26,1,0.038461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07692307692307693,0,0.0
0.0,results_beta0_2.txt,21,21,2,0.09523809523809523,1,0.047619047619047616,1,0.047619047619047616,0,0.0,2,0.09523809523809523,3,0.14285714285714285,1,0.047619047619047616
0.0,results_beta0_3.txt,7,3,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.2,results_beta0.2_1.txt,20,20,2,0.1,1,0.05,1,0.05,0,0.0,1,0.05,2,0.1,1,0.05
0.2,results_beta0.2_2.txt,32,30,1,0.03333333333333333,0,0.0,0,0.0,1,0.03333333333333333,2,0.06666666666666667,1,0.03333333333333333,0,0.0
0.4,results_beta0.4.txt,52,50,14,0.28,9,0.18,9,0.18,3,0.06,4,0.08,15,0.3,10,0.2
0.6,results_beta0.6_1.txt,3,3,3,1.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,2,0.6666666666666666,3,1.0,1,0.3333333333333333
0.6,results_beta0.6_2.txt,9,9,8,0.8888888888888888,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,8,0.8888888888888888,1,0.1111111111111111
0.6,results_beta0.6_3.txt,39,38,31,0.8157894736842105,2,0.05263157894736842,2,0.05263157894736842,1,0.02631578947368421,2,0.05263157894736842,34,0.8947368421052632,5,0.13157894736842105
0.8,results_beta0.8.txt,53,50,49,0.98,13,0.26,15,0.3,1,0.02,7,0.14,50,1.0,15,0.3
1.0,results_beta1.txt,52,50,50,1.0,29,0.58,28,0.56,4,0.08,12,0.24,50,1.0,31,0.62
